Date,Vehicle_Number,Previous_Node,Origin_Type,Vehicle_Size,Arrival_Time,Volume,Dock_Capacity,Required_Docks,Hour
2024-03-04,VH0001,GZBX->NCRU,Milkrun,14ft,17:09,1438,1000,2,17
2024-03-04,VH0002,NDLX->NCRU,Milkrun,24ft,01:23,1423,1000,2,1
2024-03-04,VH0003,LJP->NCRU,Milkrun,24ft,15:42,1402,1000,2,15
2024-03-04,VH0004,HYDX->NCRU,Longhaul,32ft,15:51,6080,1000,7,15
2024-03-04,VH0005,LJP->NCRU,Milkrun,17ft,22:50,875,1000,1,22
2024-03-04,VH0006,PNQX->NCRU,Longhaul,32ft,15:12,7950,1000,8,15
2024-03-04,VH0007,KRL->NCRU,Milkrun,14ft,20:19,1192,1000,2,20
2024-03-04,VH0008,HYDX->NCRU,Longhaul,32ft,09:13,6927,1000,7,9
2024-03-04,VH0009,PATX->NCRU,Longhaul,32ft,13:33,7365,1000,8,13
2024-03-04,VH0010,MJAX->NCRU,Longhaul,32ft,14:58,8503,1000,9,14
2024-03-04,VH0011,ROHX->NCRU,Milkrun,14ft,17:48,1105,1000,2,17
2024-03-04,VH0012,MJAX->NCRU,Longhaul,32ft,13:58,9011,1000,10,13
2024-03-04,VH0013,HYDX->NCRU,Longhaul,32ft,15:55,6735,1000,7,15
2024-03-04,VH0014,ROHX->NCRU,Milkrun,14ft,15:55,1361,1000,2,15
2024-03-04,VH0015,NDLX->NCRU,Milkrun,14ft,11:08,702,1000,1,11
2024-03-04,VH0016,ROHX->NCRU,Milkrun,17ft,16:40,1435,1000,2,16
2024-03-04,VH0017,BLRX->NCRU,Longhaul,32ft,16:20,7744,1000,8,16
2024-03-04,VH0018,BLRX->NCRU,Longhaul,32ft,10:01,8889,1000,9,10
2024-03-04,VH0019,NDLX->NCRU,Milkrun,24ft,10:17,851,1000,1,10
2024-03-04,VH0020,MJAX->NCRU,Longhaul,32ft,12:35,6632,1000,7,12
2024-03-04,VH0021,MJAX->NCRU,Longhaul,32ft,07:59,8226,1000,9,7
2024-03-04,VH0022,ROHX->NCRU,Milkrun,14ft,06:03,772,1000,1,6
2024-03-04,VH0023,NDLX->NCRU,Milkrun,24ft,18:25,1388,1000,2,18
2024-03-04,VH0024,PNQX->NCRU,Longhaul,32ft,11:39,5693,1000,6,11
2024-03-04,VH0025,LKOX->NCRU,Longhaul,32ft,07:01,8930,1000,9,7
2024-03-04,VH0026,NDLX->NCRU,Milkrun,24ft,06:35,1318,1000,2,6
2024-03-04,VH0027,NDLX->NCRU,Milkrun,24ft,18:26,1324,1000,2,18
2024-03-04,VH0028,PNQX->NCRU,Longhaul,32ft,17:37,5249,1000,6,17
2024-03-04,VH0029,BLRX->NCRU,Longhaul,32ft,12:35,9099,1000,10,12
2024-03-04,VH0030,ROHX->NCRU,Milkrun,24ft,16:59,1398,1000,2,16
2024-03-04,VH0031,KRL->NCRU,Milkrun,24ft,12:42,1210,1000,2,12
2024-03-04,VH0032,PNQX->NCRU,Longhaul,32ft,12:18,9154,1000,10,12
2024-03-04,VH0033,PNQX->NCRU,Longhaul,32ft,02:28,7098,1000,8,2
2024-03-04,VH0034,NDLX->NCRU,Milkrun,14ft,16:53,1280,1000,2,16
2024-03-04,VH0035,LKOX->NCRU,Longhaul,32ft,07:11,7901,1000,8,7
2024-03-04,VH0036,PATX->NCRU,Longhaul,32ft,06:32,9236,1000,10,6
2024-03-04,VH0037,LJP->NCRU,Milkrun,14ft,17:57,803,1000,1,17
2024-03-04,VH0038,BLRX->NCRU,Longhaul,32ft,12:02,8381,1000,9,12
2024-03-04,VH0039,ROHX->NCRU,Milkrun,14ft,17:26,1353,1000,2,17
2024-03-04,VH0040,PNQX->NCRU,Longhaul,32ft,11:31,7822,1000,8,11
2024-03-04,VH0041,ROHX->NCRU,Milkrun,14ft,18:49,1071,1000,2,18
2024-03-04,VH0042,LJP->NCRU,Milkrun,17ft,17:32,1324,1000,2,17
2024-03-04,VH0043,GZBX->NCRU,Milkrun,17ft,06:18,1126,1000,2,6
2024-03-04,VH0044,LKOX->NCRU,Longhaul,32ft,04:11,8667,1000,9,4
2024-03-04,VH0045,LJP->NCRU,Milkrun,17ft,01:02,1111,1000,2,1
2024-03-04,VH0046,ROHX->NCRU,Milkrun,17ft,13:02,808,1000,1,13
2024-03-04,VH0047,HYDX->NCRU,Longhaul,32ft,11:49,5471,1000,6,11
2024-03-04,VH0048,MJAX->NCRU,Longhaul,32ft,15:45,8114,1000,9,15
2024-03-04,VH0049,MJAX->NCRU,Longhaul,32ft,18:16,8169,1000,9,18
2024-03-04,VH0050,MJAX->NCRU,Longhaul,32ft,16:16,6838,1000,7,16
2024-03-04,VH0051,LJP->NCRU,Milkrun,14ft,11:44,1192,1000,2,11
2024-03-04,VH0052,ROHX->NCRU,Milkrun,14ft,18:28,910,1000,1,18
2024-03-04,VH0053,LKOX->NCRU,Longhaul,32ft,04:17,5591,1000,6,4
2024-03-04,VH0054,LKOX->NCRU,Longhaul,32ft,15:10,6977,1000,7,15
2024-03-04,VH0055,BLRX->NCRU,Longhaul,32ft,09:01,8661,1000,9,9
2024-03-04,VH0056,MJAX->NCRU,Longhaul,32ft,06:31,7444,1000,8,6
2024-03-04,VH0057,BLRX->NCRU,Longhaul,32ft,20:54,5315,1000,6,20
2024-03-04,VH0058,HYDX->NCRU,Longhaul,32ft,11:31,6001,1000,7,11
2024-03-04,VH0059,GZBX->NCRU,Milkrun,14ft,17:34,1327,1000,2,17
2024-03-04,VH0060,PATX->NCRU,Longhaul,32ft,04:25,5919,1000,6,4
2024-03-04,VH0061,LJP->NCRU,Milkrun,17ft,11:50,1261,1000,2,11
2024-03-04,VH0062,GZBX->NCRU,Milkrun,14ft,07:03,1370,1000,2,7
2024-03-04,VH0063,LJP->NCRU,Milkrun,24ft,18:21,837,1000,1,18
2024-03-04,VH0064,NDLX->NCRU,Milkrun,24ft,17:02,733,1000,1,17
2024-03-04,VH0065,ROHX->NCRU,Milkrun,14ft,05:50,1284,1000,2,5
2024-03-04,VH0066,NDLX->NCRU,Milkrun,14ft,13:33,1317,1000,2,13
2024-03-04,VH0067,KRL->NCRU,Milkrun,24ft,08:07,1440,1000,2,8
2024-03-04,VH0068,PATX->NCRU,Longhaul,32ft,20:04,5355,1000,6,20
2024-03-04,VH0069,LKOX->NCRU,Longhaul,32ft,16:29,5422,1000,6,16
2024-03-04,VH0070,LKOX->NCRU,Longhaul,32ft,17:25,5938,1000,6,17
2024-03-04,VH0071,GZBX->NCRU,Milkrun,14ft,03:05,1219,1000,2,3
2024-03-04,VH0072,KRL->NCRU,Milkrun,17ft,08:33,816,1000,1,8
2024-03-04,VH0073,LKOX->NCRU,Longhaul,32ft,12:31,5229,1000,6,12
2024-03-04,VH0074,ROHX->NCRU,Milkrun,14ft,10:59,1354,1000,2,10
2024-03-04,VH0075,PNQX->NCRU,Longhaul,32ft,15:07,8388,1000,9,15
2024-03-04,VH0076,LJP->NCRU,Milkrun,24ft,11:36,1453,1000,2,11
2024-03-04,VH0077,ROHX->NCRU,Milkrun,17ft,09:38,1156,1000,2,9
2024-03-04,VH0078,GZBX->NCRU,Milkrun,14ft,15:19,738,1000,1,15
2024-03-04,VH0079,GZBX->NCRU,Milkrun,17ft,19:40,1129,1000,2,19
2024-03-04,VH0080,GZBX->NCRU,Milkrun,17ft,10:46,1269,1000,2,10
2024-03-04,VH0081,GZBX->NCRU,Milkrun,24ft,00:01,1116,1000,2,0
